Kennung;Titel;Ver;Gew;LP;Sem;Modulturnus;Moduldauer
M-MACH-101282;Globale Produktion und Logistik;5;1;9,0;0;Jedes Semester;2 Semester
M-BGU-101064;Grundlagen des Verkehrswesens;4;1;9,0;0 - 1;Jedes Sommersemester;2 Semester
M-CIWVT-101120;Grundlagen Lebensmittelverfahrenstechnik;1;1;9,0;0;Jedes Semester;2 Semester
M-ETIT-101163;Hochspannungstechnik;2;1;9,0;0;Jedes Semester;2 Semester
M-MACH-102626;Schwerpunkt: Integrierte Produktentwicklung;2;1;18,0;0;Jedes Wintersemester;1 Semester
M-MACH-101272;Integrierte Produktionsplanung;3;1;9,0;0;Jedes Sommersemester;1 Semester
M-BGU-101884;Lean Management im Bauwesen;2;1;9,0;0 - 1;Jedes Wintersemester;2 Semester
M-MACH-105298;Logistik und Supply Chain Management;1;1;9,0;0;Jedes Sommersemester;1 Semester
M-MACH-101277;Materialfluss in Logistiksystemen;3;1;9,0;0;Jedes Wintersemester;1 Semester
M-MACH-101278;Materialfluss in vernetzten Logistiksystemen;5;1;9,0;0;Jedes Semester;2 Semester
M-MACH-101291;Mikrofertigung;2;1;9,0;0;Jedes Semester;1 Semester
M-MACH-101292;Mikrooptik;2;1;9,0;0;Jedes Semester;1 Semester
M-MACH-101287;Mikrosystemtechnik;3;1;9,0;0;Jedes Semester;1 Semester
M-MACH-101267;Mobile Arbeitsmaschinen;3;1;9,0;0;Jedes Semester;2 Semester
M-MACH-101294;Nanotechnologie;2;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-104837;Naturgefahren und Risikomanagement;1;1;9,0;0;Jedes Semester;1 Semester
M-MACH-101295;Optoelektronik und Optische Kommunikationstechnik;2;1;9,0;0;Jedes Semester;1 Semester
M-BGU-101888;Projektmanagement im Bauwesen;1;1;9,0;0 - 1;Jedes Wintersemester;2 Semester
M-ETIT-101157;Regelungstechnik II;2;1;9,0;0;Jedes Semester;2 Semester
M-ETIT-101158;Sensorik I;3;1;9,0;0;Jedes Sommersemester;1 Semester
M-BGU-101066;Sicherheit, EDV und Recht im Straßenwesen;2;1;9,0;0 - 1;Jedes Wintersemester;2 Semester
M-MACH-101268;Spezielle Werkstoffkunde;3;1;9,0;0;Jedes Semester;1 Semester
M-BGU-100999;Straßenwesen;2;1;9,0;0;Jedes Sommersemester;1 Semester
M-MACH-105455;Strategische Gestaltung moderner Produktionssysteme;1;1;9,0;0 - 1;Jedes Semester;2 Semester
M-MACH-101279;Technische Logistik;4;1;9,0;0;Jedes Wintersemester;1 Semester
M-BGU-104448;Urban Water Technologies;1;1;9,0;0;Jedes Sommersemester;2 Semester
M-MACH-101275;Verbrennungsmotoren I;4;1;9,0;0;Jedes Wintersemester;1 Semester
M-MACH-101303;Verbrennungsmotoren II;3;1;9,0;0;Jedes Semester;1 Semester
M-BGU-101110;Verfahrenstechnik im Baubetrieb;1;1;9,0;0 - 1;Jedes Wintersemester;2 Semester
M-BGU-101065;Verkehrsmodellierung und Verkehrsmanagement;4;1;9,0;0 - 1;Jedes Semester;2 Semester
M-MACH-101284;Vertiefung der Produktionstechnik;4;1;9,0;0;Jedes Semester;2 Semester
M-CIWVT-101119;Vertiefung Lebensmittelverfahrenstechnik;1;1;9,0;0;Jedes Semester;2 Semester
M-MACH-104888;Vertiefungsmodul Logistik;3;1;9,0;0;Jedes Semester;1 Semester
M-MACH-101283;Virtual Engineering A;3;1;9,0;0;Jedes Semester;2 Semester
M-MACH-101281;Virtual Engineering B;3;1;9,0;0;Jedes Semester;2 Semester
