sep=;
Modul;Kennung;Titel;Ver;Gew;LP;Sem
M-WIWI-101452;T-WIWI-102830;Energy Systems Analysis;1;1;3,0;0
M-WIWI-101452;T-WIWI-107464;Smart Energy Infrastructure;1;1;3,0;0
M-WIWI-101452;T-WIWI-102695;Wärmewirtschaft;1;1;3,0;0
M-WIWI-101488;T-WIWI-102864;Entrepreneurship;1;0,5;3,0;0
M-WIWI-101488;T-WIWI-102865;Geschäftsplanung für Gründer;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-102866;Design Thinking;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-102833;Entrepreneurial Leadership & Innovation Management;3;0,25;3,0;0
M-WIWI-101488;T-WIWI-102894;Entrepreneurship-Forschung;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-110985;International Business Development and Sales;1;0,5;6,0;0
M-WIWI-101488;T-WIWI-102866;Design Thinking;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-102851;Developing Business Models for the Semantic Web;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-102833;Entrepreneurial Leadership & Innovation Management;3;0,25;3,0;0
M-WIWI-101488;T-WIWI-102894;Entrepreneurship-Forschung;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-102852;Fallstudienseminar Innovationsmanagement;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-102639;Geschäftsmodelle im Internet: Planung und Umsetzung;2;0,25;4,5;0
M-WIWI-101488;T-WIWI-102865;Geschäftsplanung für Gründer;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-110374;Gründen im Umfeld IT-Sicherheit;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-102893;Innovationsmanagement: Konzepte, Strategien und Methoden;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-109064;Joint Entrepreneurship Summer School;1;0,5;6,0;0
M-WIWI-101488;T-WIWI-102612;Management neuer Technologien;2;0,25;3,0;0
M-WIWI-101488;T-WIWI-102853;Roadmapping;1;0,25;3,0;0
M-WIWI-101488;T-WIWI-110985;International Business Development and Sales;1;0,5;6,0;0
M-WIWI-101482;T-WIWI-102643;Derivate;1;1;4,5;0
M-WIWI-101482;T-WIWI-102621;Valuation;1;1;4,5;0
M-WIWI-101482;T-WIWI-102647;Asset Pricing;2;1;4,5;0
M-WIWI-101483;T-WIWI-110513;Advanced Empirical Asset Pricing;1;1;4,5;0
M-WIWI-101483;T-WIWI-102647;Asset Pricing;2;1;4,5;0
M-WIWI-101483;T-WIWI-108880;Blockchains & Cryptofinance;1;1;4,5;0
M-WIWI-101483;T-WIWI-110995;Bond Markets;1;1;4,5;0
M-WIWI-101483;T-WIWI-110997;Bond Markets - Models & Derivatives;1;1;3,0;0
M-WIWI-101483;T-WIWI-110996;Bond Markets - Tools & Applications;1;1;1,5;0
M-WIWI-101483;T-WIWI-102622;Corporate Financial Policy;1;1;4,5;0
M-WIWI-101483;T-WIWI-109050;Corporate Risk Management;2;1;4,5;0
M-WIWI-101483;T-WIWI-102643;Derivate;1;1;4,5;0
M-WIWI-101483;T-WIWI-110797;eFinance: Informationssysteme für den Wertpapierhandel;1;1;4,5;0
M-WIWI-101483;T-WIWI-102644;Festverzinsliche Titel;1;1;4,5;0
M-WIWI-101483;T-WIWI-102900;Financial Analysis;1;1;4,5;0
M-WIWI-101483;T-WIWI-102623;Finanzintermediation;1;1;4,5;0
M-WIWI-101483;T-WIWI-102626;Geschäftspolitik der Kreditinstitute;1;1;3,0;0
M-WIWI-101483;T-WIWI-102646;Internationale Finanzierung;1;1;3,0;0
M-WIWI-101483;T-WIWI-102645;Kreditrisiken;1;1;4,5;0
M-WIWI-101483;T-WIWI-110511;Strategic Finance and Technoloy Change;1;1;1,5;0
M-WIWI-101483;T-WIWI-102621;Valuation;1;1;4,5;0
M-WIWI-101483;T-WIWI-110933;Web App Programming for Finance;1;1;4,5;0
M-WIWI-101480;T-WIWI-110513;Advanced Empirical Asset Pricing;1;1;4,5;0
M-WIWI-101480;T-WIWI-102647;Asset Pricing;2;1;4,5;0
M-WIWI-101480;T-WIWI-108880;Blockchains & Cryptofinance;1;1;4,5;0
M-WIWI-101480;T-WIWI-110995;Bond Markets;1;1;4,5;0
M-WIWI-101480;T-WIWI-110997;Bond Markets - Models & Derivatives;1;1;3,0;0
M-WIWI-101480;T-WIWI-110996;Bond Markets - Tools & Applications;1;1;1,5;0
M-WIWI-101480;T-WIWI-102622;Corporate Financial Policy;1;1;4,5;0
M-WIWI-101480;T-WIWI-109050;Corporate Risk Management;2;1;4,5;0
M-WIWI-101480;T-WIWI-102643;Derivate;1;1;4,5;0
M-WIWI-101480;T-WIWI-110797;eFinance: Informationssysteme für den Wertpapierhandel;1;1;4,5;0
M-WIWI-101480;T-WIWI-102644;Festverzinsliche Titel;1;1;4,5;0
M-WIWI-101480;T-WIWI-102900;Financial Analysis;1;1;4,5;0
M-WIWI-101480;T-WIWI-102623;Finanzintermediation;1;1;4,5;0
M-WIWI-101480;T-WIWI-102626;Geschäftspolitik der Kreditinstitute;1;1;3,0;0
M-WIWI-101480;T-WIWI-102646;Internationale Finanzierung;1;1;3,0;0
M-WIWI-101480;T-WIWI-102645;Kreditrisiken;1;1;4,5;0
M-WIWI-101480;T-WIWI-110511;Strategic Finance and Technoloy Change;1;1;1,5;0
M-WIWI-101480;T-WIWI-102621;Valuation;1;1;4,5;0
M-WIWI-101480;T-WIWI-110933;Web App Programming for Finance;1;1;4,5;0
M-WIWI-105036;T-WIWI-106193;Engineering FinTech Solutions;5;1;9,0;0
M-WIWI-101471;T-WIWI-102631;Anlagenwirtschaft;1;1;5,5;0
